country,region_city,latitude,longitude,population_group,sample_size,season_month,mean_25ohd_reported,units_reported,standardized_nmol_l,year_of_data,short_citation,full_citation,url,study_type,assay_method
Norway,Tromso,69.7,19.0,Adults 65+,3000,Summer,65,nmol/L,65.0,2007-2008,Jorde et al. 2010,"Jorde R, Sneve M, Hutchinson M, et al. Tracking of serum 25-hydroxyvitamin D levels during 14 years in a population-based study. Am J Epidemiol. 2010;171(8):903-908.",https://pubmed.ncbi.nlm.nih.gov/20219763/,Population survey,CLIA
Norway,Tromso,69.7,19.0,Adults 65+,3000,Winter,52,nmol/L,52.0,2007-2008,Jorde et al. 2010,"Jorde R, Sneve M, Hutchinson M, et al. Tracking of serum 25-hydroxyvitamin D levels during 14 years in a population-based study. Am J Epidemiol. 2010;171(8):903-908.",https://pubmed.ncbi.nlm.nih.gov/20219763/,Population survey,CLIA
Argentina,Multi-latitude,-34.0,-58.5,Healthy elderly 65+,370,Summer,18,ng/mL,44.9,2000s,Oliveri et al. 2004,"Oliveri B, Plantalech L, Bagur A, et al. High prevalence of vitamin D insufficiency in healthy elderly people living at home in Argentina. Eur J Clin Nutr. 2004;58(2):337-342.",https://pubmed.ncbi.nlm.nih.gov/14749756/,Cross-sectional,RIA
Argentina,Multi-latitude,-34.0,-58.5,Healthy elderly 65+,370,Winter,12,ng/mL,29.9,2000s,Oliveri et al. 2004,"Oliveri B, Plantalech L, Bagur A, et al. High prevalence of vitamin D insufficiency in healthy elderly people living at home in Argentina. Eur J Clin Nutr. 2004;58(2):337-342.",https://pubmed.ncbi.nlm.nih.gov/14749756/,Cross-sectional,RIA
Chile,National Health Survey,-33.5,-70.7,Older adults 65+,1283,Summer,24,ng/mL,59.9,2016-2017,Lera et al. 2023,"Lera L, Marquez C, Angel B, Albala C. Social determinants of serum 25-hydroxyvitamin D concentrations deficiency in older Chilean people. Front Nutr. 2023;10:1235391.",https://pubmed.ncbi.nlm.nih.gov/37908241/,National survey,CLIA
Chile,National Health Survey,-33.5,-70.7,Older adults 65+,1283,Winter,18,ng/mL,44.9,2016-2017,Lera et al. 2023,"Lera L, Marquez C, Angel B, Albala C. Social determinants of serum 25-hydroxyvitamin D concentrations deficiency in older Chilean people. Front Nutr. 2023;10:1235391.",https://pubmed.ncbi.nlm.nih.gov/37908241/,National survey,CLIA
Spain,Multi-centre,40.0,-3.7,Adults 75+,3000,Summer,17.7,ng/mL,44.2,2018-2019,Mendes-Cunha et al. 2021,"Mendes-Cunha M, et al. Vitamin D deficiency in primary health care users at risk in Spain. Nutr Hosp. 2021;38(5):1058-1067.",https://pubmed.ncbi.nlm.nih.gov/33866793/,Retrospective,CLIA
Spain,Multi-centre,40.0,-3.7,Adults 75+,3000,Winter,14.5,ng/mL,36.2,2018-2019,Mendes-Cunha et al. 2021,"Mendes-Cunha M, et al. Vitamin D deficiency in primary health care users at risk in Spain. Nutr Hosp. 2021;38(5):1058-1067.",https://pubmed.ncbi.nlm.nih.gov/33866793/,Retrospective,CLIA
New Zealand,Aged-care,-41.0,174.0,Aged-care residents,588,Spring,70,nmol/L,70.0,2014,Wham et al. 2023,"Wham C, Gearry R, Youssef M, et al. Vitamin D status and its predictors in New Zealand aged-care residents eligible for a government-funded universal vitamin D supplementation programme. Public Health Nutr. 2023;26(8):1638-1645.",https://pubmed.ncbi.nlm.nih.gov/37211843/,National cross-sectional,LC-MS/MS
New Zealand,Aged-care,-41.0,174.0,Aged-care residents,588,Autumn,64,nmol/L,64.0,2014,Wham et al. 2023,"Wham C, Gearry R, Youssef M, et al. Vitamin D status and its predictors in New Zealand aged-care residents eligible for a government-funded universal vitamin D supplementation programme. Public Health Nutr. 2023;26(8):1638-1645.",https://pubmed.ncbi.nlm.nih.gov/37211843/,National cross-sectional,LC-MS/MS
Ireland,National (TILDA),53.0,-8.0,Adults 50+,5356,Summer (Jun-Aug),55,nmol/L,55.0,2009-2011,Laird et al. 2018,"Laird E, O'Halloran AM, Carey D, et al. The Prevalence of Vitamin D Deficiency and the Determinants of 25(OH)D Concentration in Older Irish Adults. J Gerontol A Biol Sci Med Sci. 2018;73(4):519-525.",https://pubmed.ncbi.nlm.nih.gov/28958047/,National longitudinal,LC-MS/MS
Ireland,National (TILDA),53.0,-8.0,Adults 50+,5356,Winter (Dec-Feb),38,nmol/L,38.0,2009-2011,Laird et al. 2018,"Laird E, O'Halloran AM, Carey D, et al. The Prevalence of Vitamin D Deficiency and the Determinants of 25(OH)D Concentration in Older Irish Adults. J Gerontol A Biol Sci Med Sci. 2018;73(4):519-525.",https://pubmed.ncbi.nlm.nih.gov/28958047/,National longitudinal,LC-MS/MS
Denmark,Copenhagen,55.7,12.6,Elderly women 70-75,52,Summer,67.3,nmol/L,67.3,2008-2009,Andersen et al. 2013,"Andersen R, Brot C, Jakobsen J, et al. Seasonal changes in vitamin D status among Danish adolescent girls and elderly women. Eur J Clin Nutr. 2013;67(3):270-274.",https://pubmed.ncbi.nlm.nih.gov/23388667/,1-year longitudinal,LC-MS/MS
Denmark,Copenhagen,55.7,12.6,Elderly women 70-75,52,Winter,47.2,nmol/L,47.2,2008-2009,Andersen et al. 2013,"Andersen R, Brot C, Jakobsen J, et al. Seasonal changes in vitamin D status among Danish adolescent girls and elderly women. Eur J Clin Nutr. 2013;67(3):270-274.",https://pubmed.ncbi.nlm.nih.gov/23388667/,1-year longitudinal,LC-MS/MS
Iceland,Reykjavik,64.1,-21.9,Women 70y,308,Summer,58,nmol/L,58.0,2002-2003,Steingrimsdottir et al. 2006,"Steingrimsdottir L, Gunnarsson O, Indridason OS, et al. Vitamin D intake and serum 25-OH-vitamin D concentration in different age groups of Icelandic women. Laeknabladid. 2006;92(6):431-437.",https://pubmed.ncbi.nlm.nih.gov/19439801/,Cross-sectional,RIA
Iceland,Reykjavik,64.1,-21.9,Women 70y,308,Winter,49,nmol/L,49.0,2002-2003,Steingrimsdottir et al. 2006,"Steingrimsdottir L, Gunnarsson O, Indridason OS, et al. Vitamin D intake and serum 25-OH-vitamin D concentration in different age groups of Icelandic women. Laeknabladid. 2006;92(6):431-437.",https://pubmed.ncbi.nlm.nih.gov/19439801/,Cross-sectional,RIA
Iceland,Reykjavik hospitalised,64.1,-21.9,Hospitalised elderly 83y,60,Summer,42,nmol/L,42.0,2007,Ramel et al. 2009,"Ramel A, Jonsson PV, Bjornsson S, Thorsdottir I. Vitamin D deficiency and nutritional status in elderly hospitalized subjects in Iceland. Public Health Nutr. 2009;12(7):1001-1005.",https://pubmed.ncbi.nlm.nih.gov/19144240/,Cross-sectional,RIA
Iceland,Reykjavik hospitalised,64.1,-21.9,Hospitalised elderly 83y,60,Winter,28,nmol/L,28.0,2007,Ramel et al. 2009,"Ramel A, Jonsson PV, Bjornsson S, Thorsdottir I. Vitamin D deficiency and nutritional status in elderly hospitalized subjects in Iceland. Public Health Nutr. 2009;12(7):1001-1005.",https://pubmed.ncbi.nlm.nih.gov/19144240/,Cross-sectional,RIA
France,National (VARIETE),47.0,2.0,Elderly 60-89,312,Apr-Dec,26,ng/mL,64.9,2010-2013,Souberbielle et al. 2016,"Souberbielle JC, Massart C, Brailly-Tabard S, et al. Prevalence and determinants of vitamin D deficiency in healthy French adults: the VARIETE study. Endocrine. 2016;53(2):543-550.",https://pubmed.ncbi.nlm.nih.gov/27106800/,Cross-sectional,CLIA (DiaSorin)
France,National (VARIETE),47.0,2.0,Elderly 60-89,312,Jan-Mar,21,ng/mL,52.4,2010-2013,Souberbielle et al. 2016,"Souberbielle JC, Massart C, Brailly-Tabard S, et al. Prevalence and determinants of vitamin D deficiency in healthy French adults: the VARIETE study. Endocrine. 2016;53(2):543-550.",https://pubmed.ncbi.nlm.nih.gov/27106800/,Cross-sectional,CLIA (DiaSorin)
Russia,Multi-centre,56.0,38.0,Elderly 60+,300,Spring,20,ng/mL,49.9,2018-2020,Suplotova et al. 2021,"Suplotova LA, Avdeeva VA, Pigarova EA, et al. Vitamin D deficiency in Russia: current status and recommendations. Ter Arkh. 2021;93(10):1209-1216.",https://pubmed.ncbi.nlm.nih.gov/36286760/,Multicentre registry,CLIA
Russia,Multi-centre,56.0,38.0,Elderly 60+,300,Autumn,17,ng/mL,42.4,2018-2020,Suplotova et al. 2021,"Suplotova LA, Avdeeva VA, Pigarova EA, et al. Vitamin D deficiency in Russia: current status and recommendations. Ter Arkh. 2021;93(10):1209-1216.",https://pubmed.ncbi.nlm.nih.gov/36286760/,Multicentre registry,CLIA
Turkey,Residential care,40.0,32.9,Elderly men,50,Summer,24.8,ng/mL,61.9,2018,Turkish residential elderly,"Turkish residential elderly vitamin D seasonal study (control group). Unpublished / conference proceedings.",https://pubmed.ncbi.nlm.nih.gov/,Cross-sectional paired,CLIA
Turkey,Residential care,40.0,32.9,Elderly men,50,Winter,20.9,ng/mL,52.2,2018,Turkish residential elderly,"Turkish residential elderly vitamin D seasonal study (control group). Unpublished / conference proceedings.",https://pubmed.ncbi.nlm.nih.gov/,Cross-sectional paired,CLIA
