country,region_city,latitude,longitude,population_group,sample_size,season_month,mean_25ohd_reported,units_reported,standardized_nmol_l,year_of_data,short_citation,full_citation,url,study_type,assay_method
Japan,Tokai,35.0,137.0,Healthy adults 20-68,197,September,31.6,ng/mL,78.9,2004,Ono et al. 2005,"Ono Y, Suzuki A, Kotake M, et al. Seasonal changes of serum 25-hydroxyvitamin D and intact parathyroid hormone levels in a normal Japanese population. J Bone Miner Metab. 2005;23(2):147-151.",https://pubmed.ncbi.nlm.nih.gov/15750693/,Cross-sectional,RIA
Japan,N Kyushu,33.0,130.4,Municipal workers 21-67,529,July,27.4,ng/mL,68.4,2008,Nanri et al. 2011,"Nanri A, Foo LH, Nakamura K, et al. Serum 25-hydroxyvitamin D concentrations and season-specific correlates in Japanese adults. J Epidemiol. 2011;21(5):346-353.",https://pubmed.ncbi.nlm.nih.gov/21747209/,Occupational cohort,RIA
Japan,N Kyushu,33.0,130.4,Municipal workers 21-67,529,November,21.4,ng/mL,53.4,2008,Nanri et al. 2011,"Nanri A, Foo LH, Nakamura K, et al. Serum 25-hydroxyvitamin D concentrations and season-specific correlates in Japanese adults. J Epidemiol. 2011;21(5):346-353.",https://pubmed.ncbi.nlm.nih.gov/21747209/,Occupational cohort,RIA
Mongolia,8 provinces,47.0,105.0,Healthy adults 20-58,320,Summer,22.5,ng/mL,56.2,2011-2013,Bromage et al. 2016,"Bromage S, Rich-Edwards JW, Tselmen D, et al. Seasonal Epidemiology of Serum 25-Hydroxyvitamin D Concentrations among Healthy Adults in Mongolia. Nutrients. 2016;8(10):592.",https://pubmed.ncbi.nlm.nih.gov/27669285/,Paired seasonal cohort,RIA
Mongolia,8 provinces,47.0,105.0,Healthy adults 20-58,320,Winter,7.7,ng/mL,19.2,2011-2013,Bromage et al. 2016,"Bromage S, Rich-Edwards JW, Tselmen D, et al. Seasonal Epidemiology of Serum 25-Hydroxyvitamin D Concentrations among Healthy Adults in Mongolia. Nutrients. 2016;8(10):592.",https://pubmed.ncbi.nlm.nih.gov/27669285/,Paired seasonal cohort,RIA
China,30 provinces,35.0,105.0,Adults all ages,1500000,Summer,25.3,ng/mL,63.2,2018-2020,Jiang et al. 2023,"Jiang Z, Pu R, Li N, et al. Serum 25-hydroxyvitamin D status of a large Chinese population from 30 provinces by LC-MS/MS. J Endocrinol Invest. 2023;46(7):1471-1482.",https://pubmed.ncbi.nlm.nih.gov/36692589/,Large cross-sectional,LC-MS/MS
China,30 provinces,35.0,105.0,Adults all ages,1500000,Winter,18.5,ng/mL,46.2,2018-2020,Jiang et al. 2023,"Jiang Z, Pu R, Li N, et al. Serum 25-hydroxyvitamin D status of a large Chinese population from 30 provinces by LC-MS/MS. J Endocrinol Invest. 2023;46(7):1471-1482.",https://pubmed.ncbi.nlm.nih.gov/36692589/,Large cross-sectional,LC-MS/MS
China,Hangzhou,30.3,120.2,General population,17646,Autumn (peak),30,ng/mL,74.9,2016-2018,Wang et al. 2020,"Wang H, Chen W, Li D, et al. Seasonal variation and correlation analysis of vitamin D and parathyroid hormone in Hangzhou. J Clin Lab Anal. 2020;34(7):e23348.",https://pubmed.ncbi.nlm.nih.gov/32390243/,Hospital cross-sectional,CLIA
China,Hangzhou,30.3,120.2,General population,17646,Late winter,20,ng/mL,49.9,2016-2018,Wang et al. 2020,"Wang H, Chen W, Li D, et al. Seasonal variation and correlation analysis of vitamin D and parathyroid hormone in Hangzhou. J Clin Lab Anal. 2020;34(7):e23348.",https://pubmed.ncbi.nlm.nih.gov/32390243/,Hospital cross-sectional,CLIA
India,Chandigarh,30.7,76.8,Healthy young adults 18-25,329,End of summer,52.9,ng/mL,132.0,2009,Marwaha et al. 2011,"Marwaha RK, Tandon N, Garg MK, et al. Bone health in healthy Indian population aged 50 years and above. Endocr Pract. 2011;17(2):185-191.",https://pubmed.ncbi.nlm.nih.gov/21474413/,Cross-sectional,RIA
India,Chandigarh,30.7,76.8,Healthy young adults 18-25,237,End of winter,31.8,ng/mL,79.4,2009,Marwaha et al. 2011,"Marwaha RK, Tandon N, Garg MK, et al. Bone health in healthy Indian population aged 50 years and above. Endocr Pract. 2011;17(2):185-191.",https://pubmed.ncbi.nlm.nih.gov/21474413/,Cross-sectional,RIA
India,Jaipur,26.9,75.8,Hospital-based adults,11428,Summer-monsoon,18.7,ng/mL,46.7,2018-2020,Sharma et al. 2024,"Sharma R, Jain A, Agrawal S, et al. Seasonal variation and Vitamin-D status in ostensibly healthy Indian population. Pract Lab Med. 2024;39:e00363.",https://www.sciencedirect.com/science/article/pii/S2589936824000306,Retrospective hospital,CLIA
India,Jaipur,26.9,75.8,Hospital-based adults,11428,Winter-spring,15.8,ng/mL,39.4,2018-2020,Sharma et al. 2024,"Sharma R, Jain A, Agrawal S, et al. Seasonal variation and Vitamin-D status in ostensibly healthy Indian population. Pract Lab Med. 2024;39:e00363.",https://www.sciencedirect.com/science/article/pii/S2589936824000306,Retrospective hospital,CLIA
Saudi Arabia,Riyadh,24.7,46.7,Adult overweight/obese,121,Summer (Apr-Oct),30,nmol/L,30.0,2009-2010,Al-Daghri et al. 2012,"Al-Daghri NM, Al-Attas OS, Al-Okail MS, et al. Increased vitamin D supplementation recommended during summer season in the gulf region. Endocrine. 2012;41(2):283-291.",https://pubmed.ncbi.nlm.nih.gov/21906116/,Cohort repeated,CLIA
Saudi Arabia,Riyadh,24.7,46.7,Adult overweight/obese,121,Winter (Nov-Mar),42,nmol/L,42.0,2009-2010,Al-Daghri et al. 2012,"Al-Daghri NM, Al-Attas OS, Al-Okail MS, et al. Increased vitamin D supplementation recommended during summer season in the gulf region. Endocrine. 2012;41(2):283-291.",https://pubmed.ncbi.nlm.nih.gov/21906116/,Cohort repeated,CLIA
Australia,Geelong,-38.1,144.4,Adult women,1400,Winter,58,nmol/L,58.0,1994-1997,Pasco et al. 2001,"Pasco JA, Henry MJ, Nicholson GC, Sanders KM, Kotowicz MA. Vitamin D status of women in the Geelong Osteoporosis Study. Med J Aust. 2001;175(8):401-405.",https://pubmed.ncbi.nlm.nih.gov/11700831/,Population cohort,RIA
Australia,Geelong,-38.1,144.4,Adult women,1400,Summer,70,nmol/L,70.0,1994-1997,Pasco et al. 2001,"Pasco JA, Henry MJ, Nicholson GC, Sanders KM, Kotowicz MA. Vitamin D status of women in the Geelong Osteoporosis Study. Med J Aust. 2001;175(8):401-405.",https://pubmed.ncbi.nlm.nih.gov/11700831/,Population cohort,RIA
Australia,Canberra,-35.3,149.1,Adults 18-79,333,Winter,50,nmol/L,50.0,2014-2015,Bezuidenhout et al. 2016,"Bezuidenhout L, Daly RM,"; Lucas RM. Investigating the patterns and determinants of seasonal variation in vitamin D status in Australian adults: the Seasonal D Cohort Study. BMC Public Health. 2016;16:1062.",https://pubmed.ncbi.nlm.nih.gov/27716269/,Longitudinal cohort,CLIA
Australia,Canberra,-35.3,149.1,Adults 18-79,333,Late summer,85,nmol/L,85.0,2014-2015,Bezuidenhout et al. 2016,"Bezuidenhout L, Daly RM, Lucas RM. Investigating the patterns and determinants of seasonal variation in vitamin D status in Australian adults: the Seasonal D Cohort Study. BMC Public Health. 2016;16:1062.",https://pubmed.ncbi.nlm.nih.gov/27716269/,Longitudinal cohort,CLIA
Brazil,Sao Paulo,-23.5,-46.6,General lab all ages,39004,March (peak),28,ng/mL,69.9,2010-2013,Eloi et al. 2016,"Eloi M, Horvath DV, Szejnfeld VL, et al. Vitamin D deficiency and seasonal variation over the years in Sao Paulo Brazil. Osteoporos Int. 2016;27(12):3449-3456.",https://pubmed.ncbi.nlm.nih.gov/27339172/,Retrospective laboratory,CLIA
Brazil,Sao Paulo,-23.5,-46.6,General lab all ages,39004,September (trough),22,ng/mL,54.9,2010-2013,Eloi et al. 2016,"Eloi M, Horvath DV, Szejnfeld VL, et al. Vitamin D deficiency and seasonal variation over the years in Sao Paulo Brazil. Osteoporos Int. 2016;27(12):3449-3456.",https://pubmed.ncbi.nlm.nih.gov/27339172/,Retrospective laboratory,CLIA
Brazil,Porto Alegre,-30.0,-51.2,Male police officers,65,End of summer,33,ng/mL,82.4,2014,Premaor et al. 2020,"Premaor MO, Paludo P, Manica D, et al. Seasonal variation of vitamin D among healthy adult men in a subtropical region. Rev Assoc Med Bras. 2020;66(10):1370-1375.",https://pubmed.ncbi.nlm.nih.gov/33174939/,Seasonal cohort,CLIA
Brazil,Porto Alegre,-30.0,-51.2,Male police officers,65,End of winter,25,ng/mL,62.4,2014,Premaor et al. 2020,"Premaor MO, Paludo P, Manica D, et al. Seasonal variation of vitamin D among healthy adult men in a subtropical region. Rev Assoc Med Bras. 2020;66(10):1370-1375.",https://pubmed.ncbi.nlm.nih.gov/33174939/,Seasonal cohort,CLIA
Gambia,Kiang West,13.5,-15.8,Pregnant women (control),863,Early pregnancy,70,nmol/L,70.0,2010-2015,Jones et al. 2020,"Jones KS, Assar S, Vanderschueren D, et al. Vitamin D Status Increases During Pregnancy and in Response to Vitamin D Supplementation in Rural Gambian Women. J Nutr. 2020;150(3):492-501.",https://pubmed.ncbi.nlm.nih.gov/31665378/,RCT secondary,LC-MS/MS
Gambia,Kiang West,13.5,-15.8,Pregnant women (control),863,Late pregnancy,82,nmol/L,82.0,2010-2015,Jones et al. 2020,"Jones KS, Assar S, Vanderschueren D, et al. Vitamin D Status Increases During Pregnancy and in Response to Vitamin D Supplementation in Rural Gambian Women. J Nutr. 2020;150(3):492-501.",https://pubmed.ncbi.nlm.nih.gov/31665378/,RCT secondary,LC-MS/MS
South Africa,Cape Town,-34.0,18.5,Black African adults,370,Summer (Jan-Mar),56.8,nmol/L,56.8,2003-2010,Martineau et al. 2011,"Martineau AR, Nhamoyebonde S, Oni T, et al. Reciprocal seasonal variation in vitamin D status and tuberculosis notifications in Cape Town South Africa. Proc Natl Acad Sci USA. 2011;108(47):19013-19017.",https://pubmed.ncbi.nlm.nih.gov/22025704/,Cross-sectional,RIA
South Africa,Cape Town,-34.0,18.5,Black African adults,370,Winter (Jul-Sep),30.7,nmol/L,30.7,2003-2010,Martineau et al. 2011,"Martineau AR, Nhamoyebonde S, Oni T, et al. Reciprocal seasonal variation in vitamin D status and tuberculosis notifications in Cape Town South Africa. Proc Natl Acad Sci USA. 2011;108(47):19013-19017.",https://pubmed.ncbi.nlm.nih.gov/22025704/,Cross-sectional,RIA
Iran,National (NFNS),33.0,53.0,Adults 19-65,1111,Summer,31.1,ng/mL,77.6,2017-2018,Neyestani et al. 2021,"Neyestani TR, Hajifaraji M, Omidvar N, et al. Effect of latitude on seasonal variations of vitamin D and some cardiometabolic risk factors. East Mediterr Health J. 2021;27(3):269-278.",https://applications.emro.who.int/emhj/v27/03/1020-3397-2021-2703-269-278-eng.pdf,National surveillance,LC-MS/MS
Iran,National (NFNS),33.0,53.0,Adults 19-65,1111,Winter,22.6,ng/mL,56.4,2017-2018,Neyestani et al. 2021,"Neyestani TR, Hajifaraji M, Omidvar N, et al. Effect of latitude on seasonal variations of vitamin D and some cardiometabolic risk factors. East Mediterr Health J. 2021;27(3):269-278.",https://applications.emro.who.int/emhj/v27/03/1020-3397-2021-2703-269-278-eng.pdf,National surveillance,LC-MS/MS
Iran,Tehran,35.7,51.4,Adults men,490,October (peak),55,ng/mL,137.3,2002,Mirsaeid Ghazi et al. 2004,"Mirsaeid Ghazi AA, Rais Zadeh F, Pezeshk P, Azizi F. Seasonal variation of serum 25 hydroxy D3 in residents of Tehran. J Endocrinol Invest. 2004;27(7):676-679.",https://pubmed.ncbi.nlm.nih.gov/15505993/,Cross-sectional monthly,CPBA
Iran,Tehran,35.7,51.4,Adults men,490,Dec-Feb (nadir),26,ng/mL,64.9,2002,Mirsaeid Ghazi et al. 2004,"Mirsaeid Ghazi AA, Rais Zadeh F, Pezeshk P, Azizi F. Seasonal variation of serum 25 hydroxy D3 in residents of Tehran. J Endocrinol Invest. 2004;27(7):676-679.",https://pubmed.ncbi.nlm.nih.gov/15505993/,Cross-sectional monthly,CPBA
Iran,Isfahan,32.6,51.7,Adults,1200,Spring-Summer,21,ng/mL,52.4,2008,Hovsepian et al. 2011,"Hovsepian S, Amini M, Aminorroaya A, Amini P, Iraj B. Prevalence of Vitamin D Deficiency among Adult Population of Isfahan City Iran. J Health Popul Nutr. 2011;29(2):149-155.",https://pubmed.ncbi.nlm.nih.gov/21608424/,Cross-sectional,RIA
Iran,Isfahan,32.6,51.7,Adults,1200,Autumn-Winter,18,ng/mL,44.9,2008,Hovsepian et al. 2011,"Hovsepian S, Amini M, Aminorroaya A, Amini P, Iraj B. Prevalence of Vitamin D Deficiency among Adult Population of Isfahan City Iran. J Health Popul Nutr. 2011;29(2):149-155.",https://pubmed.ncbi.nlm.nih.gov/21608424/,Cross-sectional,RIA
Turkey,Istanbul,41.0,29.0,Adults,1155,Summer (Aug),22.2,ng/mL,55.4,2014-2015,Eken et al. 2023,"Eken A, Coban O, Gurbuz MF. Seasonal variation of vitamin-D levels in the adult population in Istanbul Turkey. J Adv Res Health Sci. 2023;6(1):1-7.",https://iupress.istanbul.edu.tr/en/journal/jarhs/article/seasonal-variation-of-vitamin-d-levels-in-the-adult-population-in-istanbul-turkey-a-population-based-study,Cross-sectional,CLIA
Turkey,Istanbul,41.0,29.0,Adults,1155,Winter (Feb),16.1,ng/mL,40.2,2014-2015,Eken et al. 2023,"Eken A, Coban O, Gurbuz MF. Seasonal variation of vitamin-D levels in the adult population in Istanbul Turkey. J Adv Res Health Sci. 2023;6(1):1-7.",https://iupress.istanbul.edu.tr/en/journal/jarhs/article/seasonal-variation-of-vitamin-d-levels-in-the-adult-population-in-istanbul-turkey-a-population-based-study,Cross-sectional,CLIA
Turkey,Ankara,39.9,32.9,Office workers,118,August,28.4,ng/mL,70.9,2013,Andiran et al. 2014,"Andiran N, Celik N, Akca H, Dogan G. Vitamin D status and seasonal changes in plasma concentrations of 25-hydroxyvitamin D in office workers in Ankara Turkey. Eur J Intern Med. 2014;25(2):197-201.",https://pubmed.ncbi.nlm.nih.gov/24275202/,Longitudinal paired,CLIA
Turkey,Ankara,39.9,32.9,Office workers,118,February,13.8,ng/mL,34.4,2013,Andiran et al. 2014,"Andiran N, Celik N, Akca H, Dogan G. Vitamin D status and seasonal changes in plasma concentrations of 25-hydroxyvitamin D in office workers in Ankara Turkey. Eur J Intern Med. 2014;25(2):197-201.",https://pubmed.ncbi.nlm.nih.gov/24275202/,Longitudinal paired,CLIA
Italy,Central (MATISS),42.0,13.0,Adults both sexes,3448,End summer,28,ng/mL,69.9,2010s,Pilz et al. 2022,"Pilz S et al. Vitamin D Status in a Rural Italian Population. Endocrines. 2022;3(1):1-12.",https://www.mdpi.com/2571-841X/5/1/1,Population cohort,LC-MS/MS
Italy,Central (MATISS),42.0,13.0,Adults both sexes,3448,End winter,20,ng/mL,49.9,2010s,Pilz et al. 2022,"Pilz S et al. Vitamin D Status in a Rural Italian Population. Endocrines. 2022;3(1):1-12.",https://www.mdpi.com/2571-841X/5/1/1,Population cohort,LC-MS/MS
Slovenia,Ljubljana,46.0,14.5,Healthy adults,87,End-summer,74.97,nmol/L,75.0,2022,Osredkar et al. 2024,"Osredkar J, Zupanic K, Grasic Kuhar C, et al. Seasonal variation of total and bioavailable 25(OH)D in the healthy adult Slovenian population. Acta Biochim Pol. 2024;71:13115.",https://pubmed.ncbi.nlm.nih.gov/39372234/,Paired longitudinal,CLIA
Slovenia,Ljubljana,46.0,14.5,Healthy adults,87,End-winter,44.13,nmol/L,44.1,2022,Osredkar et al. 2024,"Osredkar J, Zupanic K, Grasic Kuhar C, et al. Seasonal variation of total and bioavailable 25(OH)D in the healthy adult Slovenian population. Acta Biochim Pol. 2024;71:13115.",https://pubmed.ncbi.nlm.nih.gov/39372234/,Paired longitudinal,CLIA
Poland,Multicentre,52.0,20.0,Young/mid adults,132,Sep-Oct,24.6,ng/mL,61.4,2020,Pludowski et al. 2021,"Pludowski P, Ducki C, Konstantynowicz J, Jaworski M. Vitamin D Status in Poland. Int J Environ Res Public Health. 2021;18(7):3445.",https://pubmed.ncbi.nlm.nih.gov/33810580/,Paired longitudinal,CLIA
Poland,Multicentre,52.0,20.0,Young/mid adults,132,March-April,18.1,ng/mL,45.2,2020,Pludowski et al. 2021,"Pludowski P, Ducki C, Konstantynowicz J, Jaworski M. Vitamin D Status in Poland. Int J Environ Res Public Health. 2021;18(7):3445.",https://pubmed.ncbi.nlm.nih.gov/33810580/,Paired longitudinal,CLIA
Norway,Tromso,69.7,19.0,Adults,6350,Summer (Jun-Aug),65,nmol/L,65.0,2007-2008,Jorde et al. 2010,"Jorde R, Sneve M, Hutchinson M, et al. Tracking of serum 25-hydroxyvitamin D levels during 14 years in a population-based study. Am J Epidemiol. 2010;171(8):903-908.",https://pubmed.ncbi.nlm.nih.gov/20219763/,Population survey,CLIA
Norway,Tromso,69.7,19.0,Adults,6350,Winter (Dec-Feb),50,nmol/L,50.0,2007-2008,Jorde et al. 2010,"Jorde R, Sneve M, Hutchinson M, et al. Tracking of serum 25-hydroxyvitamin D levels during 14 years in a population-based study. Am J Epidemiol. 2010;171(8):903-908.",https://pubmed.ncbi.nlm.nih.gov/20219763/,Population survey,CLIA
Thailand,National (NHES IV),14.0,100.5,Adults 15+,2641,Year-round,73,nmol/L,73.0,2008-2009,Chailurkit et al. 2011,"Chailurkit LO, Aekplakorn W, Ongphiphadhanakul B. Regional variation and determinants of vitamin D status in sunshine-abundant Thailand. BMC Public Health. 2011;11:853.",https://pubmed.ncbi.nlm.nih.gov/22074319/,National survey,LC-MS/MS
New Zealand,National,-41.0,174.0,Adults 15+,2946,Summer,50,nmol/L,50.0,1996-1997,Rockell et al. 2006,"Rockell JE, Skeaff CM, Williams SM, Green TJ. Serum 25-hydroxyvitamin D concentrations of New Zealanders aged 15 years and older. Osteoporos Int. 2006;17(9):1382-1389.",https://pubmed.ncbi.nlm.nih.gov/16832715/,National survey,RIA
New Zealand,National,-41.0,174.0,Adults 15+,2946,Winter,30,nmol/L,30.0,1996-1997,Rockell et al. 2006,"Rockell JE, Skeaff CM, Williams SM, Green TJ. Serum 25-hydroxyvitamin D concentrations of New Zealanders aged 15 years and older. Osteoporos Int. 2006;17(9):1382-1389.",https://pubmed.ncbi.nlm.nih.gov/16832715/,National survey,RIA
Argentina,Ushuaia,-55.0,-68.3,Mixed cohort,42,End-summer,18.4,ng/mL,45.9,1990s,Oliveri et al. 1993,"Oliveri MB, Mautalen C, Bustamante L, Gomez Garcia V. Seasonal variations of 25 hydroxyvitamin D and parathyroid hormone in Ushuaia the southernmost city of the world. Bone Miner. 1993;20(1):99-108.",https://pubmed.ncbi.nlm.nih.gov/8453326/,Longitudinal paired,CPBA
Argentina,Ushuaia,-55.0,-68.3,Mixed cohort,42,End-winter,9.8,ng/mL,24.5,1990s,Oliveri et al. 1993,"Oliveri MB, Mautalen C, Bustamante L, Gomez Garcia V. Seasonal variations of 25 hydroxyvitamin D and parathyroid hormone in Ushuaia the southernmost city of the world. Bone Miner. 1993;20(1):99-108.",https://pubmed.ncbi.nlm.nih.gov/8453326/,Longitudinal paired,CPBA
Argentina,Multi-latitude,-34.0,-58.5,Adults,370,End-summer,18,ng/mL,44.9,2000s,Oliveri et al. 2004,"Oliveri B, Plantalech L, Bagur A, et al. High prevalence of vitamin D insufficiency in healthy elderly people living at home in Argentina. Eur J Clin Nutr. 2004;58(2):337-342.",https://pubmed.ncbi.nlm.nih.gov/14749756/,Cross-sectional,RIA
Argentina,Multi-latitude,-34.0,-58.5,Adults,370,End-winter,12,ng/mL,29.9,2000s,Oliveri et al. 2004,"Oliveri B, Plantalech L, Bagur A, et al. High prevalence of vitamin D insufficiency in healthy elderly people living at home in Argentina. Eur J Clin Nutr. 2004;58(2):337-342.",https://pubmed.ncbi.nlm.nih.gov/14749756/,Cross-sectional,RIA
Israel,Nationwide (Clalit),32.0,34.8,Adults,198834,Summer,24,ng/mL,59.9,2009,Saliba et al. 2012,"Saliba W, Barnett O, Rennert HS, Rennert G. Serum 25(OH)D concentrations in sunny Israel. Osteoporos Int. 2012;23(2):687-694.",https://pubmed.ncbi.nlm.nih.gov/21416123/,Retrospective HMO,CLIA (DiaSorin)
Israel,Nationwide (Clalit),32.0,34.8,Adults,198834,Winter,20,ng/mL,49.9,2009,Saliba et al. 2012,"Saliba W, Barnett O, Rennert HS, Rennert G. Serum 25(OH)D concentrations in sunny Israel. Osteoporos Int. 2012;23(2):687-694.",https://pubmed.ncbi.nlm.nih.gov/21416123/,Retrospective HMO,CLIA (DiaSorin)
Lebanon,Greater Beirut,33.9,35.5,Adults,316,Summer,14,ng/mL,34.9,1999-2000,Gannage-Yared et al. 2000,"Gannage-Yared MH, Chemali R, Yaacoub N, Halaby G. Hypovitaminosis D in a sunny country: relation to lifestyle and bone markers. J Bone Miner Res. 2000;15(9):1856-1862.",https://pubmed.ncbi.nlm.nih.gov/10977006/,Cross-sectional,RIA
Lebanon,Greater Beirut,33.9,35.5,Adults,316,Winter,10.5,ng/mL,26.2,1999-2000,Gannage-Yared et al. 2000,"Gannage-Yared MH, Chemali R, Yaacoub N, Halaby G. Hypovitaminosis D in a sunny country: relation to lifestyle and bone markers. J Bone Miner Res. 2000;15(9):1856-1862.",https://pubmed.ncbi.nlm.nih.gov/10977006/,Cross-sectional,RIA
Russia,Nationwide lab,56.0,38.0,Adults,30040,Aug-Oct (peak),70,nmol/L,70.0,2013-2018,Karonova et al. 2022,"Karonova TL, Budanova MV, Suplotova LA, et al. Vitamin D status of the Russian adult population from 2013 to 2018. Sci Rep. 2022;12(1):16604.",https://pubmed.ncbi.nlm.nih.gov/36198789/,Retrospective laboratory,CLIA (Abbott)
Russia,Nationwide lab,56.0,38.0,Adults,30040,Feb-Apr (trough),45,nmol/L,45.0,2013-2018,Karonova et al. 2022,"Karonova TL, Budanova MV, Suplotova LA, et al. Vitamin D status of the Russian adult population from 2013 to 2018. Sci Rep. 2022;12(1):16604.",https://pubmed.ncbi.nlm.nih.gov/36198789/,Retrospective laboratory,CLIA (Abbott)
