country,region,lat,lng,jun_aug_value,dec_feb_value,n,short_citation,full_citation,url
China,30 provinces,35,105,63.2,46.2,1500000,Jiang et al. 2023,"Jiang Z et al. Serum 25-hydroxyvitamin D status of a large Chinese population from 30 provinces by LC-MS/MS. J Endocrinol Invest. 2023;46(7):1471-1482.",https://pubmed.ncbi.nlm.nih.gov/36692589/
China,Hangzhou,30.3,120.2,74.9,49.9,17646,Wang et al. 2020,"Wang H et al. Seasonal variation and correlation analysis of vitamin D and parathyroid hormone in Hangzhou. J Clin Lab Anal. 2020;34(7):e23348.",https://pubmed.ncbi.nlm.nih.gov/32390243/
India,Chandigarh,30.7,76.8,132,79.4,329,Marwaha et al. 2011,"Marwaha RK et al. Bone health in healthy Indian population. Endocr Pract. 2011;17(2):185-191.",https://pubmed.ncbi.nlm.nih.gov/21474413/
India,Jaipur,26.9,75.8,46.7,39.4,11428,Sharma et al. 2024,"Sharma R et al. Seasonal variation and Vitamin-D status in ostensibly healthy Indian population. Pract Lab Med. 2024;39:e00363.",https://www.sciencedirect.com/science/article/pii/S2589936824000306
Saudi Arabia,Riyadh,24.7,46.7,30,42,1556,Al-Daghri et al. 2012,"Al-Daghri NM et al. Increased vitamin D supplementation recommended during summer season in the gulf region. Endocrine. 2012;41(2):283-291.",https://pubmed.ncbi.nlm.nih.gov/21906116/
Australia,Geelong,-38.1,144.4,70,58,1400,Pasco et al. 2001,"Pasco JA et al. Vitamin D status of women in the Geelong Osteoporosis Study. Med J Aust. 2001;175(8):401-405.",https://pubmed.ncbi.nlm.nih.gov/11700831/
Australia,Canberra,-35.3,149.1,85,50,333,Bezuidenhout et al. 2016,"Bezuidenhout L et al. The Seasonal D Cohort Study. BMC Public Health. 2016;16:1062.",https://pubmed.ncbi.nlm.nih.gov/27716269/
Brazil,São Paulo,-23.5,-46.6,69.9,54.9,39004,Eloi et al. 2016,"Eloi M et al. Vitamin D deficiency and seasonal variation over the years in São Paulo Brazil. Osteoporos Int. 2016;27(12):3449-3456.",https://pubmed.ncbi.nlm.nih.gov/27339172/
Brazil,Porto Alegre,-30,-51.2,82.4,62.4,65,Premaor et al. 2020,"Premaor MO et al. Seasonal variation of vitamin D among healthy adult men in a subtropical region. Rev Assoc Med Bras. 2020;66(10):1370-1375.",https://pubmed.ncbi.nlm.nih.gov/33174939/
Gambia,Kiang West,13.5,-15.8,70,82,863,Jones et al. 2020,"Jones KS et al. Vitamin D Status Increases During Pregnancy and in Response to Vitamin D Supplementation in Rural Gambian Women. J Nutr. 2020;150(3):492-501.",https://pubmed.ncbi.nlm.nih.gov/31665378/
South Africa,Cape Town,-34,18.5,56.8,30.7,370,Martineau et al. 2011,"Martineau AR et al. Reciprocal seasonal variation in vitamin D status and tuberculosis notifications in Cape Town. Proc Natl Acad Sci USA. 2011;108(47):19013-19017.",https://pubmed.ncbi.nlm.nih.gov/22025704/
Iran,National (NFNS),33,53,77.6,56.4,1111,Neyestani et al. 2021,"Neyestani TR et al. Effect of latitude on seasonal variations of vitamin D and some cardiometabolic risk factors. East Mediterr Health J. 2021;27(3):269-278.",https://applications.emro.who.int/emhj/v27/03/1020-3397-2021-2703-269-278-eng.pdf
Iran,Tehran,35.7,51.4,137.3,64.9,490,Mirsaeid Ghazi et al. 2004,"Mirsaeid Ghazi AA et al. Seasonal variation of serum 25 hydroxy D3 in residents of Tehran. J Endocrinol Invest. 2004;27(7):676-679.",https://pubmed.ncbi.nlm.nih.gov/15505993/
Iran,Isfahan,32.6,51.7,52.4,44.9,1200,Hovsepian et al. 2011,"Hovsepian S et al. Prevalence of Vitamin D Deficiency among Adult Population of Isfahan City Iran. J Health Popul Nutr. 2011;29(2):149-155.",https://pubmed.ncbi.nlm.nih.gov/21608424/
Turkey,Istanbul,41,29,55.4,40.2,1155,Eken et al. 2023,"Eken A et al. Seasonal variation of vitamin-D levels in the adult population in Istanbul Turkey. J Adv Res Health Sci. 2023;6(1):1-7.",https://iupress.istanbul.edu.tr/en/journal/jarhs/article/seasonal-variation-of-vitamin-d-levels-in-the-adult-population-in-istanbul-turkey-a-population-based-study
Turkey,Ankara,39.9,32.9,70.9,34.4,118,Andiran et al. 2014,"Andiran N et al. Vitamin D status and seasonal changes in plasma 25-hydroxyvitamin D in office workers in Ankara Turkey. Eur J Intern Med. 2014;25(2):197-201.",https://pubmed.ncbi.nlm.nih.gov/24275202/
Italy,Central (MATISS),42,13,69.9,49.9,3448,Pilz et al. 2022,"Pilz S et al. Vitamin D Status in a Rural Italian Population. Endocrines. 2022;3(1):1-12.",https://www.mdpi.com/2571-841X/5/1/1
Slovenia,Ljubljana,46,14.5,75,44.1,87,Osredkar et al. 2024,"Osredkar J et al. Seasonal variation of total and bioavailable 25(OH)D in the healthy adult Slovenian population. Acta Biochim Pol. 2024;71:13115.",https://pubmed.ncbi.nlm.nih.gov/39372234/
Poland,Multicentre,52,20,61.4,34.9,132,Pludowski et al. 2021,"Pludowski P et al. Vitamin D Status in Poland. Int J Environ Res Public Health. 2021;18(7):3445.",https://pubmed.ncbi.nlm.nih.gov/33810580/
Norway,Tromsø,69.7,19,65,50,6350,Jorde et al. 2010,"Jorde R et al. Tracking of serum 25-hydroxyvitamin D levels during 14 years in a population-based study. Am J Epidemiol. 2010;171(8):903-908.",https://pubmed.ncbi.nlm.nih.gov/20219763/
Thailand,National (NHES IV),14,100.5,73,73,2641,Chailurkit et al. 2011,"Chailurkit LO et al. Regional variation and determinants of vitamin D status in sunshine-abundant Thailand. BMC Public Health. 2011;11:853.",https://pubmed.ncbi.nlm.nih.gov/22074319/
New Zealand,National,-41,174,50,30,2946,Rockell et al. 2006,"Rockell JE et al. Serum 25-hydroxyvitamin D concentrations of New Zealanders aged 15 years and older. Osteoporos Int. 2006;17(9):1382-1389.",https://pubmed.ncbi.nlm.nih.gov/16832715/
Argentina,Ushuaia,-55,-68.3,45.9,24.5,42,Oliveri et al. 1993,"Oliveri MB et al. Seasonal variations of 25 hydroxyvitamin D and parathyroid hormone in Ushuaia the southernmost city of the world. Bone Miner. 1993;20(1):99-108.",https://pubmed.ncbi.nlm.nih.gov/8453326/
Argentina,Multi-latitude,-34,-58.5,44.9,29.9,370,Oliveri et al. 2004,"Oliveri B et al. High prevalence of vitamin D insufficiency in healthy elderly people living at home in Argentina. Eur J Clin Nutr. 2004;58(2):337-342.",https://pubmed.ncbi.nlm.nih.gov/14749756/
Israel,National (Clalit),32,34.8,59.9,49.9,198834,Saliba et al. 2012,"Saliba W et al. Serum 25(OH)D concentrations in sunny Israel. Osteoporos Int. 2012;23(2):687-694.",https://pubmed.ncbi.nlm.nih.gov/21416123/
Lebanon,Greater Beirut,33.9,35.5,34.9,26.2,316,Gannagé-Yared et al. 2000,"Gannagé-Yared MH et al. Hypovitaminosis D in a sunny country: relation to lifestyle and bone markers. J Bone Miner Res. 2000;15(9):1856-1862.",https://pubmed.ncbi.nlm.nih.gov/10977006/
Russia,Nationwide,56,38,70,45,30040,Karonova et al. 2022,"Karonova TL et al. Vitamin D status of the Russian adult population from 2013 to 2018. Sci Rep. 2022;12(1):16604.",https://pubmed.ncbi.nlm.nih.gov/36198789/
Mexico,National (ENSANUT),23,-102,67.4,57.4,4162,Flores et al. 2017,"Flores M et al. Vitamin D status by sociodemographic factors and body mass index in Mexican women at reproductive age. Salud Publica Mex. 2017;59(5):518-525.",https://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0036-36342017000500518
France,National (VARIETE),47,2,64.9,47.4,892,Souberbielle et al. 2016,"Souberbielle JC et al. Prevalence and determinants of vitamin D deficiency in healthy French adults: the VARIETE study. Endocrine. 2016;53(2):543-550.",https://pubmed.ncbi.nlm.nih.gov/27106800/
Switzerland,Lucerne,47,8.3,53.4,41.6,1682,Merlo et al. 2015,"Merlo C et al. Vitamin D Deficiency in Unselected Patients from Swiss Primary Care. PLoS ONE. 2015;10(9):e0138613.",https://pubmed.ncbi.nlm.nih.gov/26372355/
Denmark,National (StatusD),56,10,75,58,2565,Hansen et al. 2018,"Hansen L et al. Vitamin D Status and Seasonal Variation among Danish Children and Adults. Nutrients. 2018;10(11):1801.",https://pubmed.ncbi.nlm.nih.gov/30463277/
Iceland,Reykjavik,64.1,-21.9,57,37,1609,Steingrimsdottir et al. 2006,"Steingrimsdottir L et al. Vitamin D intake and serum 25-OH-vitamin D concentration in different age groups of Icelandic women. Laeknabladid. 2006;92(6):431-437.",https://pubmed.ncbi.nlm.nih.gov/19439801/
Greece,Athens/Attica,38,23.7,59.9,42.4,1200,Manios et al. 2017,"Manios Y et al. Vitamin D status in Greek adults. Public Health Nutr. 2017;20(10):1882-1889.",https://pubmed.ncbi.nlm.nih.gov/28478775/
Pakistan,Karachi,24.9,67,59.9,44.9,577,Raza et al. 2019,"Raza A et al. Incidence of Vitamin D Deficiency in Different Seasons in the Adult Karachi Population. Cureus. 2019;11(7):e5167.",https://pubmed.ncbi.nlm.nih.gov/31528517/
Spain,Multi-centre,40,-3.7,57.4,44.9,19196,Mendes-Cunha et al. 2021,"Mendes-Cunha M et al. Vitamin D deficiency in primary health care users at risk in Spain. Nutr Hosp. 2021;38(5):1058-1067.",https://pubmed.ncbi.nlm.nih.gov/33866793/
Finland,Helsinki,60.2,24.9,55,40,500,Cashman et al. 2016,"Cashman KD et al. Vitamin D deficiency in Europe: pandemic? Am J Clin Nutr. 2016;103(4):1033-1044.",https://pubmed.ncbi.nlm.nih.gov/26864360/
Ireland,National (TILDA),53,-8,55,38,5356,Laird et al. 2018,"Laird E et al. Prevalence of Vitamin D Deficiency and Determinants of 25(OH)D Concentration in Older Irish Adults. J Gerontol A Biol Sci Med Sci. 2018;73(4):519-525.",https://pubmed.ncbi.nlm.nih.gov/28958047/
